名称,户型,面积,装修,楼层,朝向,售价,总价/万,详情
万科云城三期,2室2厅,67平米,精装修,高层/40层,北,85075元/平米,570,精装两房 户型方正 带深中学校   精装公寓 
桂芳园七期,2室2厅,71平米,普通装修,高层/22层,南,50704元/平米,360,精装两房，大阳台带入户，满五 唯 一
宝安新村,3室2厅,99.92平米,精装修,中层/15层,西南,43034元/平米,430,电梯大三房 业主全权配合 看房有钥匙
万科天誉,4室2厅,150.88平米,精装修,中层/41层,东南,47720元/平米,720,看房有钥匙精装开发商装修业主诚心出售
万科天誉,3室2厅,89.74平米,精装修,中层/50层,西南,51259元/平米,460,龙岗中.心城，精装三房，万科物业，品质保障，满两年
万科清林径,3室2厅,79.69平米,精装修,低层/32层,北,37018元/平米,295,实用85平  保养好 看别墅景观好 费用低
桃源居十三区,3室2厅,118.22平米,精装修,低层/11层,西北,53290元/平米,630,刚出炉新盘 带私家院子 满2年 户型方正 业主急售
熙园山院,5室2厅,251.24平米,毛坯,共1层,南北,171151元/平米,4300,上下五层，2层地下室，3面花园，南北通透
全盛紫悦龙庭,5室2厅,136.2平米,毛坯,中层/33层,西北,42584元/平米,580,对面就是华润万家，兰著学校 增送50平 地铁200
星河丹堤,4室2厅,175平米,普通装修,中层/29层,南北,71429元/平米,1250,山景大宅、单证大平面、可做6房、满2年、看房方便
鹏益花园,1室0厅,37.58平米,精装修,低层/22层,东,50559元/平米,190,精装修38平米大单身公寓带超大阳台园岭外国语未占用
南岭花园,2室2厅,78.59平米,普通装修,中层/7层,南,33083元/平米,260,南岭朝南80大两房可改三房，满五年一手业主
新银座华庭,2室2厅,64.28平米,精装修,低层/31层,北,51338元/平米,330,近罗湖关口 2房2厅 带大阳台 精装修 配套齐全。
鹏盛村,2室1厅,41.81平米,普通装修,高层/25层,西,47835元/平米,200,交通方便，两房一厅
天鹅堡二期,3室2厅,164.8平米,精装修,低层/30层,南北,81917元/平米,1350,3室2厅1厨2卫165m²精装修，低楼层看园林
万科清林径,2室2厅,78.97平米,普通装修,高层/32层,北,32291元/平米,255,2室2厅 满五年红本在手 无税 景观靓丽 即约即看
龙珠花园(龙岗),2室2厅,76.56平米,普通装修,中层/31层,北,35266元/平米,270,3.3号地铁线布吉东站，房子保养好，业主诚信卖。
壹城,3室2厅,73.42平米,毛坯,中层/48层,东北,57886元/平米,425,三房俯瞰整个龙华 大小区 买到就赚到
金运家园,3室2厅,48.3平米,精装修,高层/9层,南,54865元/平米,265,复式三房 看房有钥匙 随时方便
城三期,3室2厅,89.12平米,毛坯,高层/31层,南北,56104元/平米,500,固戍地铁 南北通透双阳台 红本在手 高层开阔视野
