万科天誉 看房有钥匙精装开发商装修业主诚心出售,4室2厅,150.88平米,龙岗,720
桃源居十三区 刚出炉新盘 带私家院子 满2年 户型方正 业主急售,3室2厅,118.22平米,宝安,630
万科清林径 实用85平  保养好 看别墅景观好 费用低,3室2厅,79.69平米,龙岗,295
桂芳园七期 精装两房，大阳台带入户，满五 唯 一,2室2厅,71平米,龙岗,360
万科云城三期 精装两房 户型方正 带深中学校   精装公寓 ,2室2厅,67平米,南山,570
宝安新村 电梯大三房 业主全权配合 看房有钥匙,3室2厅,99.92平米,宝安,430
万科天誉 龙岗中.心城，精装三房，万科物业，品质保障，满两年,3室2厅,89.74平米,龙岗,460
南洋大厦 新装修大一房一厅 住家舒服 红本在手过户快,1室2厅,58.36平米,罗湖,270
布吉阳光花园 朝东两房 视野广阔  通风效果好 住家安静,2室2厅,58.81平米,龙岗,245
万托家园 荔园外国语小学 精装2房,2室2厅,65.32平米,福田,475
中海西岸华府北区 全新毛坯五房 怎么装修你说了算 看上价格可以再谈,5室2厅,159.88平米,宝安,560
世纪春城四期 精装2房 南向 业主诚心出售 实地去看过房子 ,2室2厅,84平米,龙华,460
承翰海语山林 花样年家天下旁精装三房品牌物业超大阳台,3室2厅,79.6平米,大鹏新区,240
桃源居十三区 精装大三房 满5年税少  南北通透 户型方正 ,3室2厅,103.78平米,宝安,450
锦文阁大厦 户型方正，中楼层，采光透风视野开阔，心情舒畅,1室1厅,41平米,福田,250
招商依山郡三期 16号线地铁读深中小户型优选满两年采光视野好,1室1厅,47.58平米,龙岗,265
桃源居三区 刚出炉双层复式 精致6房 位置安静 满5年 有学校,6室2厅,107.21平米,宝安,560
万科清林径 带前后大花园端头别墅，安静 高赠送 看房随时方便,6室3厅,228.3平米,龙岗,1400
振业天峦 全新毛坯 3房2卫 客厅出阳台 位置安静  看房约,2室2厅,88.41平米,龙岗,290
双城世纪 朝南看香港山，厅出大阳台，红本无税，诚心出售,2室2厅,62.82平米,罗湖,340
星河丹堤 带装修  东南朝向  270平米大复式,5室2厅,270.02平米,龙华,2280
信和自由广场 花园社区 满五红本 南向看小区 正规两房厅出阳台,2室1厅,62平米,南山,510
龙岗国都花园 业主自住三房诚心出售,3室2厅,100.7平米,龙岗,320
桃源居十二区 2房2厅 83.6平 普通装修 东南,2室2厅,83.6平米,宝安,340
原著北区 龙华实验学校3房,3室2厅,88.03平米,龙华,750
麟腾苑二期 靠山物业小高层豪华装修2房1厅中间楼层,2室1厅,52平米,罗湖,300
倚山花园三期 花园社区，环境好，管理好，户型方正，看山望海,2室2厅,79.99平米,盐田,380
同和悦园 次新小区，方正三房，南北通透，高楼层采光佳，满两年,3室2厅,86平米,宝安,390
中信二期 单证大宅，高层满2年税少南北通透，业主诚售,5室2厅,145.86平米,宝安,825
半岛城邦三期 豪装2房，刚入伙，智能化家电，看海景,2室2厅,87.63平米,南山,1150
金地梅陇镇 民治商圈 精装大四房 低价出售 户型方正配套齐全,4室2厅,143.99平米,龙华,780
淘金山 湖边上可以长大的房子,4室2厅,149.09平米,罗湖,950
龙珠花园(龙岗) 总价低标准两房，东站旁，过渡优选,2室1厅,52.42平米,龙岗,193
信义御城 地/铁外加沃尔玛天虹旁边的家，户户朝花，配套齐全。,2室2厅,67.63平米,龙岗,310
公馆一八六六花园(北区) 精装修两房 中间楼层 采光好 拎包即住！,2室2厅,62平米,龙华,460
十五区  精装大5房 中空复式加跃式 满2年 位置安静 ,5室2厅,252.91平米,宝安,1680
桃源居十二区 4房2厅159.09平，普通装修东南朝向,4室2厅,159.09平米,宝安,680
龙岗大道1号 精装两房，业主诚意出售，木棉湾地铁站无缝对接,2室2厅,68.5平米,龙岗,370
侨城豪苑一期 朝花园 南向2室出售 满五年 税费少 有钥匙随时看,2室2厅,77.52平米,南山,528
中旅公馆二期 155平4+1房带入户花园 固定车位 ,5室2厅,155.4平米,福田,2700
新安湖花园一期 位置安静，花园中间，只出契税，随时看房 ,2室2厅,79.5平米,宝安,380
御景东方花园 小区很好位置，高层视野好内湖景，户型赠送面积很多,6室3厅,235平米,南山,3500
振业峦山谷 振业峦山谷89平 高层 原始格局两房 诚售,2室2厅,89平米,龙岗,310
金域华府一期 诚心出售的好房源，采光好，装修新，买来可以直接入住,2室2厅,85平米,龙华,510
信义假日名城五期 布吉半山豪宅 南北通透双阳台 精装拿衣服可入住,3室2厅,110.5平米,龙岗,550
缤纷时代家园 朝正南三房二卫 花园小区 螺岭小学未用 ,3室2厅,95.75平米,罗湖,620
中粮凤凰里 国企开发  毗邻会展  立新湖高新产业区,3室2厅,89.27平米,宝安,420
吉信大厦 布吉老街位置好人气旺 精装修满2年带租 金,1室1厅,46.95平米,龙岗,140
龙珠花园(龙岗) 经典两房户型，朝南，两房,2室2厅,60.4平米,龙岗,235
万科东方尊峪 此房急售，直降150万，原格局5+1房,2室2厅,182.42平米,罗湖,1030
信义嘉御山 精两房朝南 装修好 业主急卖 ！！！,2室2厅,70.86平米,龙岗,405
皇御苑四期 两房子60平，业主有心卖，看房子有钥匙,2室1厅,59.46平米,福田,370
田厦 双【地铁】商务公寓业主诚心出售 租金回报高,2室2厅,62.22平米,田厦国际中心 (田厦金牛广场),450
茂宝大厦 双地铁物业 精装三房 南北通透 诚心售房 看房方便,3室2厅,97.73平米,龙岗,265
万科温馨家园 侨香外语读书，户型方正实用，诚心卖，税费很少,3室2厅,117平米,福田,1060
星湖花园 2室2厅1厨1卫 54.95m²,2室2厅,54.95平米,罗湖,320
茵悦之生花园二期 入户大花园宽敞电梯大四房 名企碧桂园物业管理 ,4室2厅,129.25平米,龙岗,560
知春里 3号线大芬站旁实用大3房，全屋朝南，户型超好税费少,3室2厅,85.32平米,龙岗,325
宝安山庄 2房2厅 74.88平 精装装修 南 业主自己住,3室2厅,74.88平米,宝安,265
澎柏白金时代 白金时代【地 铁 口】精装三房随时看房,3室1厅,43.36平米,宝安,350
万科云城三期 精装两房 户型方正 带深中学校   精装公寓 ,2室2厅,67平米,南山,570,满两年,抵押
宝珠花园 临地铁站物业楼层采光通风好 大型居家小区 看房方便,3室2厅,118.52平米,南山,700,满五唯一,抵押
南岭花园 89平大3房急售 满5年税费少 装修保养好价格实惠,3室2厅,88.92平米,龙岗,280,满两年,抵押
宝安新村 电梯大三房 业主全权配合 看房有钥匙,3室2厅,99.92平米,宝安,430,满五唯一,抵押
万科清林径 实用85平  保养好 看别墅景观好 费用低,3室2厅,79.69平米,龙岗,295,满两年,抵押
华盛盛荟名庭 宝安繁华地段 精装两房高层采光好户型方正实用诚售 ,2室2厅,69.8平米,宝安,418,满两年,无抵押
十五区  精装大5房 中空复式加跃式 满2年 位置安静 ,5室2厅,252.91平米,宝安,1680,满两年,抵押
万科天誉 看房有钥匙精装开发商装修业主诚心出售,4室2厅,150.88平米,龙岗,720,满两年,抵押
桃源居十三区 刚出炉新盘 带私家院子 满2年 户型方正 业主急售,3室2厅,118.22平米,宝安,630,满两年,抵押
西岸观邸 南北通透精装四房超宽超长阳台业主诚售,4室2厅,104.41平米,宝安,1200,满两年,抵押
桂芳园七期 精装两房，大阳台带入户，满五 唯 一,2室2厅,71平米,龙岗,360,满五唯一,无抵押
招华曦城三期 占地600平米的端头别墅 三侧百米楼间距 看全山景,6室2厅,341.19平米,宝安,3500,满两年,抵押
万科天誉 龙岗中.心城，精装三房，万科物业，品质保障，满两年,3室2厅,89.74平米,龙岗,460,满两年,无抵押
振业峦山谷 精装2+1房出售 厅出阳台朝西南看山景,2室2厅,64.16平米,龙岗,220,满两年,抵押
田心大厦  田心大厦 精致装修,1室1厅,38.16平米,罗湖,165,满两年,抵押
非常公馆 业主诚心出售精装小两房户型方正采光很好,2室1厅,51.02平米,宝安,285,满五年,抵押
宏发嘉域 中间楼层，独立入户三房，东南向,3室2厅,87.75平米,光明区,360,满两年,抵押
中旅公馆二期 155平4+1房带入户花园 固定车位 ,5室2厅,155.4平米,福田,2700,满五唯一,抵押
世纪春城四期 精装2房 南向 业主诚心出售 实地去看过房子 ,2室2厅,84平米,龙华,460,暂无数据,暂无数据
中海天钻 园林式花园社区、南北通大三房、低于市场价60万！,3室2厅,121.04平米,罗湖,1000,满两年,无抵押
万科城二区 朝南安静，看花园，满两年。,1室0厅,38.72平米,龙岗,180,满五唯一,无抵押
双城世纪 罗湖口岸精装修1房1厅急售,1室1厅,48.41平米,罗湖,240,满两年,抵押
万科天誉 龙岗地铁3号线双地铁/口 精装修3房连接 3馆1城,3室2厅,87平米,龙岗,460,满两年,抵押
万科清林径 全新精装修 大4房 南北通透,4室2厅,147.01平米,龙岗,510,满两年,抵押
新天鹅堡 湖景大宅中间楼层，5房2厅，南北通透，近地铁物业,5室2厅,298.99平米,南山,5000,满两年,抵押
星河传奇花园二期 少有三房全新装修,3室2厅,83平米,龙华,525,满两年,抵押
布吉阳光花园 电梯房满五年 精装大三房 地铁便利配套成熟公立学校,3室2厅,91.45平米,龙岗,360,满五唯一,抵押
龙珠花园(龙岗) 精装两房，户型方正实用,2室2厅,59.7平米,龙岗,230,满两年,抵押
金港华庭  刚需精装修的中高楼层两房 业主因腾名额诚心急售,2室2厅,63.02平米,宝安,370,满两年,抵押
同泰时代 福永11号线地铁出口 同泰商场 端头位两房不限购贷,2室2厅,69.03平米,宝安,268,满两年,无抵押
桃源居十四区 桃源居精装电梯大三房，满五年免个税，业主诚心出售,3室2厅,122.62平米,宝安,500,满五唯一,抵押
龙岗大道1号 精装双阳台高层南向，客厅出阳台南北通透,2室2厅,68.42平米,龙岗,370,满两年,无抵押
福盈山 不限购不限贷小三房户型方正实用看房随时方便,3室1厅,67.22平米,光明区,250,满两年,抵押
南岭花园 南岭朝南80大两房可改三房，满五年一手业主,2室2厅,78.59平米,龙岗,260,满五唯一,抵押
创业二村 住家装修三房朝花园，红本在手,3室2厅,90平米,宝安,470,满五唯一,无抵押
嘉福花园 近福田口岸关口和地铁，福田外国语南校区，满两年,2室2厅,63.53平米,福田,420,满两年,无抵押
8克拉 小户型 总价低 可落户 有钥匙 看房方便,1室0厅,36.28平米,坪山,65,满两年,抵押
城领丽 前海辐射区 看整个花园 双龙抱珠 三个房间都朝南,4室2厅,89.25平米,宝安,510,满两年,抵押
桃源居五区 锦绣清华3房2厅，朝南，户型方正，装修精致,3室2厅,86.47平米,宝安,395,满两年,抵押
信义嘉御山 精两房朝南 装修好 业主急卖 ！！！,2室2厅,70.86平米,龙岗,405,满两年,抵押
旭飞花园 可改二房 园岭实验小学未用 满五I年,1室1厅,36.19平米,福田,210,满五唯一,抵押
龙珠花园(龙岗) 低首付精装3房清爽装修拎包入住满5年,3室2厅,100.03平米,龙岗,330,满五唯一,无抵押
花半里 高层安静复式四房，实用200平，读实验学校,5室2厅,126.27平米,龙岗,638,满五唯一,抵押
黄木岗北区 精装大三房 ,3室2厅,86.4平米,福田,730,满五唯一,无抵押
黄木岗北区 笔架山公园里的家 精装小三房 改造在即,2室2厅,74.31平米,福田,600,满两年,无抵押
海岸卡夫诺 海岸卡夫诺 不限购不限贷 精装2房 商住两用,2室2厅,77平米,"海岸卡夫诺 (海岸时代公寓,海岸时代大厦)",340,满两年,抵押
桃源居三区 精装修的1房2厅1卫  理想过渡房  临近学校,1室2厅,57.13平米,宝安,270,满两年,无抵押
侨城豪苑一期 朝花园 南向2室出售 满五年 税费少 有钥匙随时看,2室2厅,77.52平米,南山,528,满五唯一,无抵押
怡都大厦 罗湖关口，户型方正，可以看香港风景，高层,2室1厅,68.5平米,罗湖,225,满两年,抵押
南岭花园 满五，红本，税少，业主诚心出售,3室2厅,90.22平米,龙岗,290,满五唯一,无抵押
万科云城三期 精装两房 户型方正 带深中学校 ,2室2厅,67平米,南山,610,满两年,抵押
