序号,行政区,土地坐落,总面积,土地用途,供应方式,签定日期
1.,滨海县,县城阜东北路西侧（原滨海农业银行坎北营业所（一楼））,0.015289,其他商服用地,协议出让,2020/4/30
2.,福清市,海口镇洋坂村、岑兜村。,2.220300,城镇村道路用地,划拨,2020/4/23
3.,遵义市本级,新蒲新区长征大道与兴遵大道交叉口西北侧,0.943200,其他商服用地,挂牌出让,2020/4/23
4.,惠山区,惠山区惠暨大道西侧,0.220950,零售商业用地,挂牌出让,2020/4/22
5.,惠山区,惠山区中惠大道与保宁路交叉口西南侧,1.501970,城镇住宅用地,挂牌出让,2020/4/22
6.,惠山区,惠山区钱桥街道上伟路南侧、林溪路东侧,8.301020,城镇住宅用地,挂牌出让,2020/4/22
7.,滨湖区,经开区吴都路与清舒道交叉口西南侧,11.353100,其他商服用地,挂牌出让,2020/4/22
8.,滨湖区,经开区华清大道与吴都路交叉口东北侧,8.345700,城镇住宅用地,挂牌出让,2020/4/22
9.,无锡市本级,新吴区泰山路与鑫明路交叉口东北侧,8.915610,城镇住宅用地,挂牌出让,2020/4/22
10.,临泉县,光明路西侧、前进路北侧,0.045005,城镇住宅用地,挂牌出让,2020/4/21
11.,阜南县,龙泉路南侧、仰泉路北侧、王化路西侧,6.917466,城镇住宅用地,挂牌出让,2020/4/21
12.,自贡市本级,自流井区旧城片区A3-31地块,3.764606,城镇住宅用地,拍卖出让,2020/4/21
13.,润州区,宝盖路252-1号02室,0.001014,城镇住宅用地,协议出让,2020/4/21
14.,西乡县,城北街道莲花社区二组,0.430600,城镇住宅用地,拍卖出让,2020/4/21
15.,贵港市本级,贵港市港北区武乐乡江城村郁江左岸,1.462134,港口码头用地,挂牌出让,2020/4/21
16.,西乡县,城北街道四季河村一组二组,1.469722,城镇住宅用地,拍卖出让,2020/4/21
17.,南海区,广东省佛山市南海区九江镇沙头建新街2号,0.007934,城镇住宅用地,协议出让,2020/4/20
18.,温州市本级,温州经济技术开发区金海园区D-31e地块,0.807400,机关团体用地,划拨,2020/4/20
19.,德清县,德清经济开发区云岫北路东侧、长虹街北侧,0.344200,城镇住宅用地,划拨,2020/4/20
20.,鹿城区,温州市行政中心区E18-2号地块,0.028795,零售商业用地,协议出让,2020/4/20
21.,商水县,迎宾大道（原章华台路）南侧，经二路西侧,5.963300,工业用地,拍卖出让,2020/4/20
22.,凤庆县,诗礼乡诗礼村安全小组,0.014400,其他商服用地,拍卖出让,2020/4/20
23.,淄博市本级,淄博经济开发区北郊镇袁家村西南,2.264800,公用设施用地,协议出让,2020/4/20
24.,汾西县,汾西县城区永安大桥东,0.092500,其他商服用地,挂牌出让,2020/4/20
25.,大余县,大余县南安镇庾岭大道南侧静一路东侧,0.262116,教育用地,挂牌出让,2020/4/20
26.,浮山县,浮山县天坛镇东关村,0.167140,城镇住宅用地,挂牌出让,2020/4/20
27.,太原市本级,东至马头水村，南、西、北至梁背后村,9.144276,医疗卫生用地,挂牌出让,2020/4/20
28.,泽州县,金凤路东侧、兰花国际物流园南侧,0.916500,仓储用地,挂牌出让,2020/4/20
29.,策勒县,策勒县吐扎克其村以东，工业用地,0.297499,工业用地,挂牌出让,2020/4/20
30.,西乡县,城北街道鹿龄社区宁家园,0.101833,城镇住宅用地,拍卖出让,2020/4/20
序号,行政区,土地坐落,总面积,土地用途,供应方式,签定日期
序号,行政区,土地坐落,总面积,土地用途,供应方式,签定日期
