apartment,total_price
西城二环内：广安门、白纸坊、菜园北里小两居,440
西城区 广安门 南北向三居室 看房提前约,499
西城区，广安门，三居 总款低 南北通透,450
石榴庄地铁，正规南向一居室，板楼中间层,259
近地铁，配套完善，中间层，南北通透，看房随时,305
西城二环内广安门、白纸坊、全明格局南北两居,445
首经贸 万年花城正规一居，诚心急售，联系我随时看,390
南北通透，精装，看房随时，独院管理，中影家属楼，院内停车充足,780
满五年家庭一套，有钥匙，住总一建承建，层高2.9米。,1050
北洼西里 精装大三居室 朝向好 公房 看房随时,910
西城德胜积水潭有钥匙全南两居室大客厅高档小区,1310
郁花园一里2居室经典户型 好楼层 有钥匙随时看！,358
东四环，四惠，国贸，精装修，满五年一套 正对花园 落地窗,810
世华泊郡 新出南向大两居 满五唯壹 直观园林 视野采光好,655
南北l两居 中间楼层 前后无遮挡 临近公园 满五年,455
晓月苑五里  有钥匙 诚心出售,198
亚运村盛和家园 朝南两居室  临近5号线,660
南开西里业主诚心出售户型方正采光超棒,263
带车位 近地铁 东西通透两居室 带客厅 低楼层看房方便,475
龙潭湖公园旁方庄精装西南向两居室诚心出售看房随时,395
南三环 宋家庄 刘家窑地铁南北三居 看房方便,525
方庄 芳群园  精装修两居室 拎包入住,365
新上设计师满五年首付88万，1%的契税一室0厅,219
交东小区 地铁附近板楼2层 南北通透看房随时！,698
三轨交汇，方庄宋家庄顶秀欣园，东南向一居，中间层，换房诚售,355
"新上! 南三环 刘家窑赵公口 南北两居室,近地铁带电梯",365
南三环石榴庄 新上板楼两居室 户型方正 精装修买来及住,315
全明格局 两个卧室大小一样，高层视野好,268
北苑五号院东西通透三居室 满五年 正对小区 看房提前联系诚售,410
紫绶园东南向两居室，位置好，安静不临街,405
天怡家园 商品房满五唯一 落地阳台 东南二居 随时看房,535
1997年双西两居 可以改三居室 小区直通公园,1020
新上房源南北向两居室五年一套好户型,369
